rev_id,prediction
722858228,Start
738972939,Stub
739159083,Start
749473060,Stub
764504709,Stub
764651177,Stub
765323312,C
769689871,Start
770031114,Stub
770031699,Start
770035856,Start
776842295,C
778418380,Start
780161582,Stub
780289941,Stub
782619134,Stub
786220507,Start
788180240,Stub
788180335,Start
788180488,Stub
788180507,Stub
788180585,Stub
788180869,Stub
788181008,Stub
788181154,Stub
788181217,Start
788181486,Stub
788182881,Start
788182918,Stub
788611790,Stub
789269975,Stub
789269991,Start
789270004,Start
789270155,Start
789270463,Stub
789270480,Start
789270481,Stub
789270489,Stub
789270517,Start
789270521,Start
789270525,Stub
789270538,Stub
789270551,Stub
789270555,Stub
789270559,Stub
789270563,Stub
789270575,Stub
789270579,C
789270600,Stub
789270606,Stub
789270614,Stub
789270633,Stub
789270634,Stub
789270644,Stub
789270765,Stub
789270773,Stub
789270775,Stub
789270781,Stub
789270784,Stub
789270787,Stub
789270791,Stub
789270805,Stub
789270814,Start
789270816,Stub
789270819,Stub
789270821,Stub
789270835,Stub
790208674,Start
790216379,C
790232486,Stub
790240137,Start
790378063,Stub
790924186,Start
791694358,Start
791805823,Stub
791836458,Start
795643909,Start
796600327,Start
797474291,Stub
798133285,B
798292485,C
798306442,C
799695433,Stub
801084884,Stub
801477757,Stub
801554031,Stub
802276196,C
802437768,Start
802437878,Start
802740752,GA
802841606,GA
802847173,C
802930966,C
802961482,C
803573135,Start
805535874,C
806100649,Start
806896405,Start
806899527,C
807479431,Start
